"Drug","Groups","Indication"
"4,6-DIDEOXY-4-{[4-[(4-O-HEXOPYRANOSYLHEXOPYRANOSYL)OXY]-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}HEXOPYRANOSYL-(1->4)HEXOPYRANOSYL-(1->4)HEXOPYRANOSE","experimental",""
"ACETOPHENONE","experimental",""
"Cycloleucine","experimental",""
"N-ACETYLHISTAMINE","experimental",""
"2-ETHOXYETHYL (2S,3S)-4-((S)-2-BENZYL-3-OXO-4-((3AR,8R,8AS)-2-OXO-3,3A,8,8A-TETRAHYDRO-2H-INDENO[1,2-D]OXAZOL-8-YL)-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE","experimental",""
"DERIVATIVE OF AKLANONIC ACID METHYL ESTER (AAME)","experimental",""
"Cyclouridine","experimental",""
"Allosamidin","experimental",""
"Aplyronine A","experimental",""
"Aldosterone","experimental",""
"Atpenin A5","experimental",""
"4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE","experimental",""
"N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine","experimental",""
"N-BENZYLOXYCARBONYL-L-SERINE-BETALACTONE","experimental",""
"Glutamine t-butyl ester","experimental",""
"6-Bromo-1-hexanol","experimental",""
"2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE","experimental",""
"Biphenylalanine","experimental",""
"Naphthalene-2,6-disulfonic acid","experimental",""
"3,7-DIHYDROXYNAPHTHALENE-2-CARBOXYLIC ACID","experimental",""
"7-{2,6-DICHLORO-4-[3-(2-CHLORO-BENZOYL)-UREIDO]-PHENOXY}-HEPTANOIC ACID","experimental",""
"4-{3-CHLORO-4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID","experimental",""
"4-{4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2,3-DIMETHYL-PHENOXY}-BUTYRIC ACID","experimental",""
"5-{3-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID","experimental",""
"Dibromothymoquinone","experimental",""
"BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA","experimental",""
"S-propylamine-L-cysteine","experimental",""
"TETRAHEDRAL INTERMEDIATE OF BLASTICIDIN S","experimental",""
"5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID","experimental",""
"BIOTINOL-5-AMP","experimental",""
"(11-BETA)-11,21-DIHYDROXY-PREGN-4-ENE-3,20-DIONE","experimental",""
"CBZ-LEU-LEU-TYR-CH2F","experimental",""
"4-PIPERIDIN-4-YLBUTANAL","experimental",""
"METOPRINE, METHODICHLOROPHEN","experimental",""
"1,3,4-TRIHYDROXY-5-(3-PHENOXYPROPYL)-CYCLOHEXANE-1-CARBOXYLIC A CID","experimental",""
"Carboxin","experimental",""
"(1S,2R,3S,4R,5S)-8-AZABICYCLO[3.2.1]OCTANE-1,2,3,4-TETROL","experimental",""
"(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE","experimental",""
"Glycerylphosphorylcholine","experimental",""
"Cis-tetracosenoyl sulfatide","experimental",""
"OLOMOUCINE II","experimental",""
"Cyclohexyl-pentyl-maltoside","experimental",""
"2H-1-BENZOPYRAN-2-ONE","experimental",""
"TRIAZOLOPYRIMIDINE","experimental",""
"L-CYSTEIN-S-1-(IMINOMETHYL)-L-ORNITHINE","experimental",""
"cyclic 3',5'-thymidine monophosphate","experimental",""
"4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE","experimental",""
"2-HYDROXY-3,5-DIIODOBENZOIC ACID","experimental",""
"(2S,5R,8S,11R,12S,15S,18S,19S,E)-8-ISOBUTYL-18-((5S,6S)-6-METHOXY-3,5-DIMETHYL-7-PHENYLHEPTYL)-1,2,5,12,15,19-HEXAMETHYL-3,6,9,13,16,20,25-HEPTAOXO-1,4,7,10,14,17,21-HEPTAAZACYCLOPENTACOS-21-ENE-11,22-DICARBOXYLIC ACID","experimental",""
"Dansyllysine","experimental",""
"N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE","experimental",""
"H TYPE II TRISACCHARIDE","experimental",""
"H TYPE I TRISACCHARIDE","experimental",""
"GALACTOSE GREASE","experimental",""
"BETA-METHYLLACTOSIDE","experimental",""
"Octylphenoxy polyethoxyethanol","experimental",""
"(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE","experimental",""
"1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,3H)-DIONE","experimental",""
"DIMETHYL THIOPHOSPHATE","experimental",""
"ECGONINE METHYL ESTER","experimental",""
"2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID","experimental",""
"Camptothecin","experimental","Investigated for the treatment of cancer."
"(13S)-13-METHYLDODECAHYDRO-1H-CYCLOPENTA[A]PHENANTHRENE-3,17(2H,4H)-DIONE","experimental",""
"FARNESYL THIOPYROPHOSPHATE","experimental",""
"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN","experimental",""
"TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE","experimental",""
"N-(1,4-DIHYDRO-5H-TETRAZOL-5-YLIDENE)-9-OXO-9H-XANTHENE-2-SULFONAMIDE","experimental",""
"4-Butyrolactone","experimental",""
"GLUTATHIONE SULFINATE","experimental",""
"S-METHYL-GLUTATHIONE","experimental",""
"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE","experimental",""
"HESPERIDIN","experimental",""
"HYDROXYFASUDIL","experimental",""
"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE","experimental",""
"Iodipamide","approved","Iodipamide is used as a contrast agent for cholecystography and intravenous cholangiography."
"4-IODOPHENYLALANINE","experimental",""
"ISOPENTENYL PYROPHOSPHATE","experimental",""
"IMIDAZOPYRIDAZIN 1","experimental",""
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE","experimental",""
"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE","experimental",""
"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE","experimental",""
"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE","experimental",""
"2-(3-CHLORO-6-{[2,2-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-1-OXIDOPYRIDIN-2-YL)-N-[1-(3-CHLOROPHENYL)ETHYL]ACETAMIDE","experimental",""
"2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID","experimental",""
"(S)-2-((S)-3-ISOBUTYL-2,5-DIOXO-4-QUINOLIN-3-YLMETHYL-[1,4]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE","experimental",""
"Licofelone","investigational","For the management of osteoarthritis."
"N-(4-{4-AMINO-6-[4-(METHYLOXY)PHENYL]FURO[2,3-D]PYRIMIDIN-5-YL}PHENYL)-N'-[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]UREA","experimental",""
"GENTAMICIN C1A","experimental",""
"1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE","experimental",""
"N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID","experimental",""
"1,6-DI-O-PHOSPHONO-D-MANNITOL","experimental",""
"Citraconic acid","experimental",""
"MONOGALACTOSYL-DIACYLGLYCEROL","experimental",""
"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE","experimental",""
"Motuporin","experimental",""
"4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE","experimental",""
"MOXALACTAM (HYDROLYZED)","experimental",""
"Myxothiazol","experimental",""
"NITROCEFIN","experimental",""
"Nimesulide","withdrawn","For the treatment of acute pain, the symptomatic treatment of osteoarthritis and primary dysmenorrhoea in adolescents and adults above 12 years old."
"2-OXOQUINOLINE","experimental",""
"(10E,12Z)-octadeca-10,12-dienoic acid","experimental",""
"11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID","experimental",""
"2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE","experimental",""
"Purvalanol A","experimental",""
"Phosphatidyl ethanol","experimental",""
"9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE","experimental",""
"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE","experimental",""
"2-[3,5-DICHLORO-4-(2-{2-[2(2-MERCAPTOETHOXY)ETHOXY]ETHOXY}ETHOXY)PHENYLAMINO]BENZOIC ACID","experimental",""
"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE","experimental",""
"2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE)","experimental",""
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)","experimental",""
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)","experimental",""
"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]","experimental",""
"N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE","experimental",""
"1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM","experimental",""
"[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE","experimental",""
"N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE","experimental",""
"N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID","experimental",""
"Pyrithiamine Pyrophosphate","experimental",""
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE","experimental",""
"O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL","experimental",""
"1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE","experimental",""
"1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE","experimental",""
"METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE","experimental",""
"Reidispongiolide A","experimental",""
"Reidispongiolide C","experimental",""
"N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL","experimental",""
"(R)-4-Nitrostyrene oxide","experimental",""
"ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE","experimental",""
"5-hydroxyvaleric acid","experimental",""
"(S)-4-Nitrostyrene oxide","experimental",""
"Sphinxolide B","experimental",""
"Methylphenyl carbinol","experimental",""
"Suramin","approved","For treatment of human sleeping sickness, onchocerciasis and other diseases caused by trypanosomes and worms."
"Tanaproget","experimental",""
"Tagetitoxin","experimental",""
"5-methyltetrahydrofolate","experimental",""
"2,5-bis-o-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-d-glucitol","experimental",""
"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL","experimental",""
"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL","experimental",""
"2-O-(3'-AMIDINOPHENYL)-5-O-(4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL","experimental",""
"Bifonazole","approved","Used for the treatment of various topical fungal infections, including athlete's foot (tinea pedis)."
"Thenoyltrifluoroacetone","experimental",""
"Inecalcitol","experimental","Investigated for use/treatment in prostate cancer, psoriasis and hyperparathyroidism."
"Triazolopyridine","experimental",""
"THIO-ATPA","experimental",""
"5-n-undecyl-6-hydroxy-4,7-dioxobenzothiazole","experimental",""
"1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID","experimental",""
"(11E)-OCTADEC-11-ENOIC ACID","experimental",""
"Verdoheme","experimental",""
"Virginiamycin factor S1","experimental",""
"4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE","experimental",""
"SALOPHEN-10-PROPIONATE IRON CHELATE","experimental",""
"Salophen-10-carboxylate iron chelate","experimental",""
"Salophen iron chelate","experimental",""
"Dantron","investigational/withdrawn",""
"Metamizole","withdrawn","Used in the past as a powerful painkiller and fever reducer."
"Iproniazid","withdrawn","For the treatment of depression (originally intended to treat tuberculosis)."
"Nialamide","withdrawn",""
"Nomifensine","withdrawn",""
"Phenolphthalein","withdrawn","Used for over a century as a laxative."
"Prenylamine","withdrawn",""
"Ethyl carbamate","withdrawn",""
"Zomepirac","withdrawn","Zomepirac was indicated for the management of mild to severe pain."
"Lysergic Acid Diethylamide","illicit/withdrawn",""
"Buformin","withdrawn",""
"Ticrynafen","withdrawn","For the treatment of hypertension."
"Zimelidine","withdrawn","For the treatment of depression."
"Methaqualone","illicit/withdrawn","For the treatment of insomnia, and as a sedative and muscle relaxant."
"Maraviroc","approved/investigational","For treatment-experienced adult patients infected with only CCR5-tropic HIV-1 detectable, who have evidence of viral replication and HIV-1 strains resistant to multiple antiretroviral agents."
"Amineptine","illicit/withdrawn","For the treatment of depression."
"Clofedanol","approved/withdrawn","Used in the treatment of dry cough."
"Cyclandelate","approved","Used in the treatment of various blood vessel diseases (e.g., claudication, arteriosclerosis and Raynaud's disease) and nighttime leg cramps."
"Cyproterone acetate","approved/investigational","For the palliative treatment of patients with advanced prostatic carcinoma."
"Debrisoquin","approved","For the treatment of moderate and severe hypertension, either alone or as an adjunct, and for the treatment of renal hypertension."
"Flunarizine","approved","Used in the prophylaxis of migraine, occlusive peripheral vascular disease, vertigo of central and peripheral origin, and as an adjuvant in the therapy of epilepsy."
"Fluspirilene","approved","Used for the treatment of schizophrenia."
"Mepenzolate","approved","For use as adjunctive therapy in the treatment of peptic ulcer. It has not been 
shown to be effective in contributing to the healing of peptic ulcer, decreasing the rate of recurrence, or preventing complications.
"
"Tetrabenazine","approved","Treatment of hyperkinetic movement disorders like chorea in Huntington's disease, hemiballismus, senile chorea, Tourette syndrome and other tic disorders, and tardive dyskinesia "
"Ixabepilone","approved/investigational","Investigated for use/treatment in breast cancer, head and neck cancer, melanoma, lung cancer, lymphoma (non-hodgkin's), prostate cancer, renal cell carcinoma, and cancer/tumors (unspecified)."
"FG-4592","investigational","In clinical development for the treatment of anemia of chronic inflammatory disease."
"AZD2171","investigational","For the treatment of liver cancer, advanced non-small cell lung cancer (NSCLC), advanced colorectal cancer (CRC) and other solid tumors."
"AZD2563","investigational","For the treatment of gram-positive infections, including multiresistant strains."
"Biricodar dicitrate","investigational","Administered intravenously, biricodar dicitrate is to be used in combination with cancer chemotherapy agents."
"Implitapide","investigational","For the treatment of atherosclerosis."
"Binodenoson","investigational","For cardiac pharmacologic stress SPECT imaging, which is used to diagnose coronary artery disease."
"Dronedarone","approved","Management of paroxysmal or persistent atrial fibrillation via restoration of normal sinus rhythm. "
"Dexloxiglumide","investigational","For the treatment of Irritable Bowel Syndrome (IBS) and Gastroesophageal Reflux Disease (GERD)."
"Brasofensine","investigational","For the treatment of Parkinson's Disease."
"Tirapazamine","investigational","For the treatment of head and neck cancer."
"Zanapezil","investigational","For the treatment of dementia in subjects with Alzheimer’s disease."
"Isatoribine","investigational","For the treatment of Hepatitis C."
"Nebivolol","approved/investigational","For the treatment of essential hypertension."
"Merimepodib","investigational","For the treatment of hepatitis C virus (HCV) infection."
"Lefradafiban","investigational","For the treatment of unstable angina."
"Huperzine A","investigational","For the treatment of Alzheimer's disease."
"Homoharringtonine","approved","Used in patients who are intolerant and/or resistant to two or more tyrosine kinase inhibitors used to treat accelerated or chronic phase CML.  

"
"Halofuginone","investigational","For the treatment of scleroderma, cancer, and restenosis."
"Lintitript","investigational","For the treatment of pancreatic cancer and appetite disorders."
"Nilotinib","approved/investigational","For the potential treatment of various leukemias, including chronic myeloid leukemia (CML)."
"Olcegepant","investigational","For the treatment of migraine headaches."
"Lorcaserin","approved","For the treatment of obesity, as an adjunct to a reduced-calorie diet and increased physical activity."
"Osanetant","investigational","Potential therapy for schizophrenia, depression and visceral pain."
"Piboserod","investigational","For the treatment of atrial fibrillation and irritable bowel syndrome (IBS)."
"Pralnacasan","investigational","For the treatment of rheumatoid arthritis (RA)."
"Vildagliptin","approved/investigational","Used to reduce hyperglycemia in type 2 diabetes mellitus."
"Voacamine","approved/investigational","For the treatment of malaria. Also under investigation for the modulation of multidrug resistance in cancer cells."
"Voglibose","approved/investigational","For the treatment of diabetes. It is specifically used for lowering post-prandial blood glucose levels thereby reducing the risk of macrovascular complications."
"Vatalanib","investigational","Used in combination with first- and second-line chemotherapy for the treatment of metastatic colorectal cancer and non-small cell lung cancer (NSCLC)."
"Enoximone","approved/investigational","For the treatment of congestive heart failure."
"Elacridar","investigational","For the treatment of solid tumors."
"Edotecarin","investigational","Clinical studies with edotecarin have shown activity in subjects with colorectal cancer, esophageal cancer and other solid tumors."
"Darusentan","investigational","For the treatment of congestive heart failure and hypertension."
"Dapoxetine","investigational","For the treatment of premature ejaculation."
"Cilansetron","investigational","For the treatment of symptoms associated with irritable bowel syndrome."
"Calanolide A","investigational","For use in combination treatment of HIV infection (AIDS)."
"Brecanavir","investigational","For the treatment of HIV-1 infection in combination with other antiretroviral agents."
"Bifeprunox","investigational","Bifeprunox is being evaluated for the treatment of schizophrenia, psychosis, and Parkinson's disease."
"Bicifadine","investigational","For the treatment of pain."
"Bepotastine","approved","For the symptomatic treatment of itchy eyes (caused by IgE-induced mast cell degranulation) due to allergic conjunctivitis."
"Phenserine","investigational","For the treatment of Alzheimer's disease (AD)."
"AZD3409","investigational","For the treatment of solid tumors."
"Vapreotide","approved/investigational","For the treatment of esophageal variceal bleeding in patients with cirrhotic liver disease and has also shown efficacy in the treatment of patients with AIDS-related diarrhea."
"Pegaptanib","approved/investigational","For the treatment of neovascular (wet) age-related macular degeneration."
"Milnacipran","approved","Milnacipran is used to treat moderate to severe clinical depression but this indication is not yet FDA-approved in the USA. Milnacipran is labelled for the treatment of fibromyalgia pain. "
"Ximelagatran","approved/investigational/withdrawn","For the treatment of acute deep vein thrombosis."
"Nesiritide","approved/investigational","For the intravenous treatment of patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity."
"Galiximab","investigational","Investigated for use/treatment in lymphoma (non-hodgkin's), psoriasis and psoriatic disorders, bone metastases, multiple myeloma, prostate cancer, and rheumatoid arthritis."
"AZD6140","investigational","Intended for the prevention of thrombotic events in patients with ACS."
"Pagoclone","investigational","For the potential treatment of panic and anxiety disorders."
"Tesmilifene","investigational","Intended for the treatment of various forms of cancer."
"ISA247","investigational","Investigated for use/treatment in autoimmune diseases, eye disorders/infections, immunosuppressive, kidney transplant surgery, psoriasis and psoriatic disorders, rheumatoid arthritis, and transplant (rejection)."
"Flibanserin","investigational","For the treatment of sexual dysfunction in women."
"Oxibendazole","investigational","Investigated for use/treatment in infectious and parasitic disease (unspecified) and pediatric indications."
"Stannsoporfin","investigational","Investigated for use/treatment in liver disease, metabolic disease, and pediatric indications."
"Phenoxodiol","investigational","Intended for the treatment of various forms of cancer."
"Renzapride","investigational","For the treatment of constipation-predominant irritable bowel syndrome (IBS-C)."
"Ceftobiprole","investigational","For the treatment of serious bacterial infections in hospitalised patients."
"Alfimeprase","investigational","Alfimeprase is being evaluated as a potential treatment for acute ischemic stroke, catheter occlusion (CO) and acute peripheral arterial occlusion (PAO)."
"Clevidipine","approved","For the treatment of hypertension."
